,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
59,95,Fuvahmulah Atoll,Maldives,Maldives,73.44000244140625,-0.28888604044914246,105247,24328
60,95,Fuvahmulah Atoll,Maldives,Maldives,73.4000015258789,-0.2688862979412079,35021,24329
61,95,Fuvahmulah Atoll,Maldives,Maldives,73.41999816894531,-0.2688862979412079,214598,24330
62,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.81999969482422,-7.685644149780273,516662,30976
63,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.83999633789062,-7.685644149780273,82994,30977
64,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.80000305175781,-7.665823936462402,930174,30978
65,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.81999969482422,-7.665823936462402,2381388,30979
66,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.83999633789062,-7.665823936462402,477809,30980
67,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.77999877929688,-7.646002769470215,614978,30981
68,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.80000305175781,-7.646002769470215,2594163,30982
69,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.81999969482422,-7.646002769470215,838789,30983
70,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.83999633789062,-7.646002769470215,137989,30984
71,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.77999877929688,-7.626180648803711,457836,30985
72,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.80000305175781,-7.626180648803711,527971,30986
73,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.94000244140625,-7.388243198394775,181675,30987
74,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.95999908447266,-7.388243198394775,89104,30988
75,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.94000244140625,-7.368409156799316,10761,30989
76,121,Centurion and Ganges Banks,Southern Banks,Chagos,70.95999908447266,-7.368409156799316,139357,30990
77,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.348574638366699,125768,31488
78,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.348574638366699,401655,31489
79,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.348574638366699,716851,31490
80,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.348574638366699,340094,31491
81,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.348574638366699,68128,31492
82,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.328738689422607,37210,31493
83,123,Pitt Bank S,Southern Banks,Chagos,71.4000015258789,-7.328738689422607,900077,31494
84,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.328738689422607,243237,31495
85,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.328738689422607,341826,31496
86,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.328738689422607,169180,31497
87,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.328738689422607,159057,31498
88,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.328738689422607,166444,31499
89,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.308902263641357,875087,31500
90,123,Pitt Bank S,Southern Banks,Chagos,71.4000015258789,-7.308902263641357,250442,31501
91,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.308902263641357,834411,31502
92,123,Pitt Bank S,Southern Banks,Chagos,71.5199966430664,-7.308902263641357,141181,31503
93,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.289064407348633,7113,31504
94,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.289064407348633,14501,31505
95,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.289064407348633,456468,31506
96,123,Pitt Bank S,Southern Banks,Chagos,71.36000061035156,-7.26922607421875,192346,31507
97,123,Pitt Bank S,Southern Banks,Chagos,71.37999725341797,-7.26922607421875,3830,31508
98,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.26922607421875,52715,31509
99,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.26922607421875,35842,31510
100,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.26922607421875,58369,31511
101,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.26922607421875,1745798,31512
102,123,Pitt Bank S,Southern Banks,Chagos,71.5199966430664,-7.26922607421875,113547,31513
103,123,Pitt Bank S,Southern Banks,Chagos,71.36000061035156,-7.249386787414551,146744,31514
104,123,Pitt Bank S,Southern Banks,Chagos,71.4000015258789,-7.249386787414551,112179,31515
105,123,Pitt Bank S,Southern Banks,Chagos,71.41999816894531,-7.249386787414551,47425,31516
106,123,Pitt Bank S,Southern Banks,Chagos,71.44000244140625,-7.249386787414551,323768,31517
107,123,Pitt Bank S,Southern Banks,Chagos,71.45999908447266,-7.249386787414551,206117,31518
108,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.249386787414551,8208,31519
109,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.249386787414551,2367069,31520
110,123,Pitt Bank S,Southern Banks,Chagos,71.5199966430664,-7.249386787414551,62200,31521
111,123,Pitt Bank S,Southern Banks,Chagos,71.33999633789062,-7.229547023773193,153311,31522
112,123,Pitt Bank S,Southern Banks,Chagos,71.36000061035156,-7.229547023773193,122302,31523
113,123,Pitt Bank S,Southern Banks,Chagos,71.4800033569336,-7.229547023773193,511646,31524
114,123,Pitt Bank S,Southern Banks,Chagos,71.5,-7.229547023773193,1787477,31525
115,123,Pitt Bank S,Southern Banks,Chagos,71.31999969482422,-7.209705829620361,76701,31526
116,123,Pitt Bank S,Southern Banks,Chagos,71.33999633789062,-7.209705829620361,225817,31527
117,123,Pitt Bank S,Southern Banks,Chagos,71.4000015258789,-7.209705829620361,2006,31528
